time,text,ai_cut_score,ai_scale,ai_pos_x,ai_pos_y,ai_graphic,ai_broll,decision
0.0,はいますよという意志を表明するために,0.9984227418899536,277.2602844238281,-0.9002965688705444,-0.580765962600708,0.6897115707397461,0.043118298053741455,KEEP
0.08,はいますよという意志を表明するために,0.998434841632843,277.247314453125,-0.8975009322166443,-0.5885426998138428,0.6887016296386719,0.04210130497813225,KEEP
0.17,はいますよという意志を表明するために,0.9984026551246643,277.2074890136719,-0.9054123163223267,-0.5703116059303284,0.6966382265090942,0.04718047380447388,KEEP
0.25,はいますよという意志を表明するために,0.9984515905380249,277.078369140625,-0.8870713114738464,-0.6059444546699524,0.6818875670433044,0.038314275443553925,KEEP
0.33,はいますよという意志を表明するために,0.998414158821106,277.16326904296875,-0.8915120959281921,-0.5986160635948181,0.6848195791244507,0.03950447961688042,KEEP
0.42,はいますよという意志を表明するために,0.9984080195426941,277.28424072265625,-0.8890672326087952,-0.5899854898452759,0.6913630366325378,0.04147165268659592,KEEP
0.5,はいますよという意志を表明するために,0.9984464049339294,276.6201171875,-0.9140584468841553,-0.5719714164733887,0.7004454135894775,0.05290120840072632,KEEP
0.58,はいますよという意志を表明するために,0.9984555244445801,276.8588562011719,-0.9032219648361206,-0.5885641574859619,0.6937587857246399,0.047657229006290436,KEEP
0.67,はいますよという意志を表明するために,0.998472273349762,276.9427490234375,-0.9011825323104858,-0.5958694219589233,0.6913931369781494,0.04703788831830025,KEEP
0.75,はいますよという意志を表明するために,0.9984887838363647,277.20501708984375,-0.8943350911140442,-0.608612596988678,0.6849673390388489,0.042647819966077805,KEEP
0.83,はいますよという意志を表明するために,0.9984884262084961,277.4478759765625,-0.8914920687675476,-0.6132157444953918,0.6816455721855164,0.0403406023979187,KEEP
0.92,はいますよという意志を表明するために,0.9984896183013916,277.60479736328125,-0.8909682035446167,-0.6132208108901978,0.6817599534988403,0.04018177464604378,KEEP
