time,audio_energy_rms,audio_is_speaking,silence_duration_ms,speaker_id,text_is_active,text_word
0.000000,0.005161,0,100,,1,ん
0.100000,0.005369,0,200,,1,ん
0.200000,0.010199,1,0,,1,ん
0.300000,0.010645,1,0,,1,ん
0.400000,0.022681,1,0,,0,
0.500000,0.017252,1,0,,0,
0.600000,0.066898,1,0,,0,
0.700000,0.046074,1,0,,0,
0.800000,0.123140,1,0,,0,
0.900000,0.091629,1,0,,0,
1.000000,0.108925,1,0,,0,
1.100000,0.091812,1,0,,0,
1.200000,0.117165,1,0,,0,
1.300000,0.098161,1,0,,0,
1.400000,0.071252,1,0,,0,
1.500000,0.033654,1,0,,0,
1.600000,0.053241,1,0,,0,
1.700000,0.000942,0,100,,0,
1.800000,0.000598,0,200,,0,
1.900000,0.000463,0,300,,0,
2.000000,0.000513,0,400,,1,ちょ
2.100000,0.027211,1,0,,1,ちょ
2.200000,0.031741,1,0,,1,ちょ
2.300000,0.021384,1,0,,1,ちょ
2.400000,0.031270,1,0,,1,こ
2.500000,0.052356,1,0,,1,せ
2.600000,0.044493,1,0,,1,で
2.700000,0.024444,1,0,,1,ちょ
2.800000,0.066789,1,0,,1,ちょ
2.900000,0.183676,1,0,,1,う
3.000000,0.100566,1,0,,1,う
3.100000,0.099783,1,0,,1,ど
3.200000,0.080531,1,0,,1,私
3.300000,0.028157,1,0,,1,私
3.400000,0.042584,1,0,,1,私
3.500000,0.044630,1,0,,1,が
3.600000,0.101794,1,0,,1,が
3.700000,0.070922,1,0,,1,なんか
3.800000,0.020150,1,0,,1,なんか
3.900000,0.083492,1,0,,1,レ
4.000000,0.063036,1,0,,1,レ
4.100000,0.011210,1,0,,1,ポ
4.200000,0.104737,1,0,,1,が
4.300000,0.066968,1,0,,1,が
4.400000,0.046150,1,0,,1,が
4.500000,0.073058,1,0,,1,が
4.600000,0.068222,1,0,,1,なんか
4.700000,0.034840,1,0,,1,なんか
4.800000,0.038437,1,0,,1,なんか
4.900000,0.013181,1,0,,1,なんか
5.000000,0.061528,1,0,,1,ク
5.100000,0.065051,1,0,,1,ク
5.200000,0.030814,1,0,,1,ク
5.300000,0.002806,0,100,,1,ク
5.400000,0.007116,0,200,,1,ク
5.500000,0.064547,1,0,,1,ク
5.600000,0.055253,1,0,,1,ッ
5.700000,0.021408,1,0,,1,シ
5.800000,0.027943,1,0,,1,ュ
5.900000,0.014639,1,0,,1,して
6.000000,0.019376,1,0,,1,でき
6.100000,0.025216,1,0,,1,でき
6.200000,0.038645,1,0,,1,なく
6.300000,0.203117,1,0,,1,なく
6.400000,0.202223,1,0,,1,て
6.500000,0.083258,1,0,,1,て
6.600000,0.080468,1,0,,1,て
6.700000,0.045001,1,0,,1,ち
6.800000,0.014432,1,0,,1,ち
6.900000,0.002387,0,100,,1,ょ
7.000000,0.001605,0,200,,1,ょ
7.100000,0.001466,0,300,,1,ょ
7.200000,0.000796,0,400,,1,ょ
7.300000,0.000714,0,500,,1,ょ
7.400000,0.000602,0,600,,1,ょ
7.500000,0.015295,1,0,,1,ょ
7.600000,0.047455,1,0,,1,ょ
7.700000,0.055623,1,0,,1,う
7.800000,0.089898,1,0,,1,ど
7.900000,0.162460,1,0,,1,ある
8.000000,0.082695,1,0,,1,かった
8.100000,0.091475,1,0,,1,かった
8.200000,0.010188,1,0,,1,んだ
8.300000,0.045172,1,0,,1,んだ
8.400000,0.017484,1,0,,1,んだ
8.500000,0.029004,1,0,,1,よね
8.600000,0.115608,1,0,,1,そう
8.700000,0.199284,1,0,,1,そう
8.800000,0.215821,1,0,,1,そうそう
8.900000,0.154355,1,0,,1,そうそう
9.000000,0.092375,1,0,,1,そうそう
9.100000,0.126282,1,0,,1,そうそう
9.200000,0.141788,1,0,,1,そうそう
9.300000,0.027118,1,0,,1,そうそう
9.400000,0.117572,1,0,,1,そうそう
9.500000,0.123293,1,0,,1,そうそう
9.600000,0.013738,1,0,,1,色
9.700000,0.105611,1,0,,1,色
9.800000,0.089670,1,0,,1,色
9.900000,0.144981,1,0,,1,色
10.000000,0.129090,1,0,,1,々
10.100000,0.109450,1,0,,1,ト
10.200000,0.117119,1,0,,1,ト
10.300000,0.145793,1,0,,1,ラ
10.400000,0.082375,1,0,,1,ブ
10.500000,0.117201,1,0,,1,ル
10.600000,0.054545,1,0,,1,が
10.700000,0.111804,1,0,,1,起
10.800000,0.031070,1,0,,1,起
10.900000,0.010154,1,0,,1,き
11.000000,0.004382,0,100,,1,て
11.100000,0.011106,1,0,,1,て
11.200000,0.018628,1,0,,1,て
11.300000,0.029889,1,0,,1,ね
11.400000,0.052813,1,0,,1,ね
11.500000,0.011405,1,0,,1,その
11.600000,0.002207,0,100,,1,その
11.700000,0.014219,1,0,,1,その
11.800000,0.025762,1,0,,1,から
11.900000,0.022538,1,0,,1,から
12.000000,0.054499,1,0,,1,から
12.100000,0.071764,1,0,,1,レ
12.200000,0.071307,1,0,,1,レ
12.300000,0.044145,1,0,,1,レ
12.400000,0.053346,1,0,,1,レ
