time,audio_energy_rms,audio_is_speaking,silence_duration_ms,speaker_id,text_is_active,text_word
0.000000,0.018555,1,0,,1,う
0.100000,0.024682,1,0,,1,う
0.200000,0.028863,1,0,,1,ち
0.300000,0.078770,1,0,,1,ち
0.400000,0.116406,1,0,,1,に
0.500000,0.097145,1,0,,1,に
0.600000,0.067004,1,0,,1,に
0.700000,0.113361,1,0,,1,ね、
0.800000,0.084288,1,0,,0,
0.900000,0.067902,1,0,,0,
1.000000,0.025504,1,0,,0,
1.100000,0.024969,1,0,,0,
1.200000,0.026000,1,0,,0,
1.300000,0.023199,1,0,,0,
1.400000,0.089345,1,0,,1,ヘ
1.500000,0.076881,1,0,,1,ヘ
1.600000,0.129627,1,0,,1,ンデ
1.700000,0.094911,1,0,,1,さん
1.800000,0.125276,1,0,,1,さん
1.900000,0.033833,1,0,,1,が
2.000000,0.117763,1,0,,1,が
2.100000,0.088954,1,0,,1,亡
2.200000,0.068416,1,0,,1,く
2.300000,0.087198,1,0,,1,く
2.400000,0.051780,1,0,,1,した
2.500000,0.100265,1,0,,1,した
2.600000,0.122714,1,0,,1,バイ
2.700000,0.155148,1,0,,1,バイ
2.800000,0.074032,1,0,,1,ク
2.900000,0.021905,1,0,,1,ク
3.000000,0.095870,1,0,,1,を
3.100000,0.077856,1,0,,1,イ
3.200000,0.061536,1,0,,1,イ
3.300000,0.083101,1,0,,1,ンパ
3.400000,0.109353,1,0,,1,ウ
3.500000,0.067899,1,0,,1,ド
3.600000,0.111104,1,0,,1,ロ
3.700000,0.063470,1,0,,1,ッ
3.800000,0.051200,1,0,,1,シ
3.900000,0.079166,1,0,,1,ュ
4.000000,0.101870,1,0,,1,に
4.100000,0.068731,1,0,,1,行
4.200000,0.039645,1,0,,1,行
4.300000,0.038676,1,0,,1,行
4.400000,0.024466,1,0,,1,行
4.500000,0.056625,1,0,,1,ってる
4.600000,0.118067,1,0,,1,間
4.700000,0.058127,1,0,,1,に
4.800000,0.055258,1,0,,1,に
4.900000,0.058082,1,0,,1,に
5.000000,0.042033,1,0,,1,2
5.100000,0.063014,1,0,,1,2
5.200000,0.116770,1,0,,1,回
5.300000,0.095660,1,0,,1,事
5.400000,0.039015,1,0,,1,事
5.500000,0.040540,1,0,,1,故
5.600000,0.034742,1,0,,1,って
5.700000,0.040442,1,0,,1,って
5.800000,0.058118,1,0,,1,死
